"Date","Price","Open","High","Low","Vol.","Change %"
"15-01-2021","73.130","73.097","73.213","72.995","","0.07%"
"14-01-2021","73.080","73.143","73.240","72.922","","-0.12%"
"13-01-2021","73.170","73.175","73.238","73.065","","-0.08%"
"12-01-2021","73.225","73.497","73.497","73.195","","-0.34%"
"11-01-2021","73.474","73.439","73.600","73.367","","0.18%"
"08-01-2021","73.340","73.440","73.495","73.204","","-0.12%"
"07-01-2021","73.430","73.169","73.475","73.065","","0.40%"
"06-01-2021","73.136","73.184","73.234","73.055","","0.01%"
"05-01-2021","73.130","73.065","73.291","72.987","","0.07%"
"04-01-2021","73.080","73.089","73.125","72.827","","-0.06%"
"01-01-2021","73.125","73.100","73.130","73.025","","0.10%"
"31-12-2020","73.054","73.208","73.232","72.955","","-0.12%"
"30-12-2020","73.144","73.358","73.413","73.135","","-0.36%"
"29-12-2020","73.405","73.555","73.555","73.310","","-0.19%"
"28-12-2020","73.548","73.558","73.609","73.454","","-0.01%"
"25-12-2020","73.558","73.558","73.558","73.558","","0.00%"
"24-12-2020","73.555","73.805","73.845","73.517","","-0.30%"
"23-12-2020","73.780","73.910","73.910","73.660","","-0.10%"
"22-12-2020","73.854","73.938","73.948","73.802","","-0.24%"
"21-12-2020","74.028","73.575","74.105","73.575","","0.62%"
"18-12-2020","73.575","73.525","73.582","73.475","","0.07%"
"17-12-2020","73.525","73.585","73.627","73.367","","-0.16%"
"16-12-2020","73.640","73.527","73.660","73.457","","0.11%"
"15-12-2020","73.558","73.666","73.674","73.537","","-0.11%"
"14-12-2020","73.640","73.746","73.746","73.450","","-0.13%"
"11-12-2020","73.738","73.712","73.809","73.526","","-0.01%"
"10-12-2020","73.745","73.725","73.777","73.625","","0.02%"
"09-12-2020","73.730","73.697","73.730","73.520","","0.01%"
"08-12-2020","73.725","73.813","73.841","73.505","","-0.07%"
"07-12-2020","73.779","73.821","73.993","73.698","","0.00%"
"04-12-2020","73.776","73.878","73.878","73.661","","-0.13%"
"03-12-2020","73.870","73.685","73.982","73.670","","0.14%"
"02-12-2020","73.770","73.490","73.840","73.402","","0.37%"
"01-12-2020","73.500","74.023","74.023","73.458","","-0.68%"
"30-11-2020","74.000","73.943","74.020","73.870","","0.09%"
"27-11-2020","73.935","73.834","74.113","73.724","","0.13%"
"26-11-2020","73.837","73.776","73.906","73.714","","0.07%"
"25-11-2020","73.789","73.965","74.020","73.743","","-0.39%"
"24-11-2020","74.079","74.244","74.244","73.861","","-0.24%"
"23-11-2020","74.260","74.128","74.279","74.005","","0.19%"
"20-11-2020","74.120","74.150","74.213","74.062","","0.01%"
"19-11-2020","74.110","74.300","74.348","74.096","","-0.01%"
"18-11-2020","74.120","74.470","74.530","74.066","","-0.48%"
"17-11-2020","74.480","74.340","74.640","74.340","","0.13%"
"16-11-2020","74.380","74.598","74.598","74.380","","-0.27%"
"13-11-2020","74.582","74.656","74.724","74.472","","-0.14%"
"12-11-2020","74.685","74.415","74.754","74.350","","0.30%"
"11-11-2020","74.462","74.172","74.543","74.172","","0.23%"
"10-11-2020","74.290","73.940","74.483","73.930","","0.34%"
"09-11-2020","74.035","73.979","74.175","73.634","","0.08%"
"06-11-2020","73.976","74.012","74.270","73.842","","0.07%"
"05-11-2020","73.925","74.310","74.420","73.925","","-0.60%"
"04-11-2020","74.368","74.586","74.998","74.325","","-0.34%"
"03-11-2020","74.625","74.427","74.631","74.254","","0.15%"
"02-11-2020","74.510","74.575","74.575","74.265","","-0.08%"
"30-10-2020","74.567","74.308","74.716","74.243","","0.25%"
"29-10-2020","74.380","74.227","74.533","73.937","","0.26%"
"28-10-2020","74.190","73.729","74.279","73.647","","0.77%"
"27-10-2020","73.624","73.929","74.000","73.595","","-0.47%"
"26-10-2020","73.970","73.850","74.123","73.697","","0.17%"
"23-10-2020","73.842","73.653","73.899","73.476","","0.23%"
"22-10-2020","73.670","73.660","73.807","73.520","","0.10%"
"21-10-2020","73.600","73.435","73.771","73.357","","0.20%"
"20-10-2020","73.450","73.325","73.564","73.290","","0.12%"
"19-10-2020","73.360","73.452","73.452","73.281","","-0.11%"
"16-10-2020","73.444","73.384","73.444","73.249","","0.01%"
"15-10-2020","73.435","73.305","73.533","73.209","","0.25%"
"14-10-2020","73.255","73.405","73.475","73.189","","-0.21%"
"13-10-2020","73.410","73.359","73.483","73.247","","0.06%"
"12-10-2020","73.364","73.014","73.419","73.014","","0.47%"
"09-10-2020","73.020","73.150","73.265","72.966","","-0.38%"
"08-10-2020","73.300","73.330","73.376","73.179","","-0.05%"
"07-10-2020","73.335","73.485","73.610","73.245","","-0.14%"
"06-10-2020","73.441","73.097","73.522","73.097","","0.44%"
"05-10-2020","73.117","73.300","73.486","73.067","","-0.24%"
"02-10-2020","73.295","73.242","73.453","73.242","","0.11%"
"01-10-2020","73.218","73.614","73.630","73.023","","-0.48%"
"30-09-2020","73.570","73.822","73.870","73.531","","-0.26%"
"29-09-2020","73.760","73.790","73.920","73.717","","-0.01%"
"28-09-2020","73.765","73.698","73.865","73.540","","0.11%"
"25-09-2020","73.685","73.735","73.785","73.571","","-0.30%"
"24-09-2020","73.910","73.840","74.057","73.770","","0.45%"
"23-09-2020","73.580","73.511","73.640","73.424","","0.08%"
"22-09-2020","73.520","73.580","73.650","73.390","","-0.08%"
"21-09-2020","73.580","73.543","73.640","73.265","","0.05%"
